Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_0805_2012Metric",4.699000,47.752000,0.000000,top
"D1","1N4148W","D_SOD-323_HandSoldering",-23.763000,59.316000,90.000000,top
"D2","1N4148W","D_SOD-323_HandSoldering",-23.763000,51.316000,270.000000,top
"D3","1N4148W","D_SOD-323_HandSoldering",-23.763000,32.316000,90.000000,top
"D4","1N4148W","D_SOD-323_HandSoldering",-23.763000,23.316000,270.000000,top
"D5","1N4148W","D_SOD-323_HandSoldering",-23.763000,86.316000,90.000000,top
"D6","1N4148W","D_SOD-323_HandSoldering",-23.763000,78.316000,270.000000,top
"D7","1N4148W","D_SOD-323_HandSoldering",-23.763000,4.316000,90.000000,top
"D8","1N4148W","D_SOD-323_HandSoldering",-23.763000,-3.684000,270.000000,top
"D9","1N4148W","D_SOD-323_HandSoldering",-6.263000,45.316000,270.000000,top
"D10","1N4148W","D_SOD-323_HandSoldering",-2.763000,23.316000,270.000000,top
"D11","1N4148W","D_SOD-323_HandSoldering",-2.763000,78.316000,270.000000,top
"D12","1N4148W","D_SOD-323_HandSoldering",-2.763000,-0.684000,90.000000,top
"R1","10k","R_0805_2012Metric",12.537000,19.816000,0.000000,top
"R2","10k","R_0805_2012Metric",12.537000,42.216000,0.000000,top
"R3","10k","R_0805_2012Metric",12.537000,24.116000,180.000000,top
"R4","10k","R_0805_2012Metric",12.537000,16.516000,0.000000,top
